0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967
0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048
0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96
0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635
0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956
0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799
0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972
0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979
0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984
0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981
0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986
0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565
0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115
0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966
0.63,0.63,9,-6.211,1,0.0395,0.0131,0,0.142,0.163,80.512
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042
0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163
0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037
0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541
0.9,0.4,0,-8.575,1,0.127,0.0516,0,0.0599,0.346,135.984
0.863,0.471,6,-9.545,1,0.478,0.251,0,0.121,0.644,140.969
0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985
0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003
0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023
0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008
0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043
0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231
0.836,0.621,1,-4.684,0,0.0894,0.389,9.16e-05,0.104,0.762,101.993
0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097
0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957
0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087
0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974
0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112
0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015
0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848
0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982
0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169
0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08
0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96
0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051
0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982
0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005
0.722,0.565,4,-5.848,1,0.0335,0.435,0,0.165,0.488,104.483
0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054
