0.701,0.676,9,-5.873,1,0.0642,0.00633,1.34e-05,0.0704,0.54,105.041
0.417,0.624,9,-6.61,1,0.037,0.0159,0.000125,0.175,0.497,200.136
0.667,0.509,1,-6.584,1,0.0348,0.12,1.91e-06,0.269,0.289,104.995
0.553,0.799,4,-4.46,1,0.0362,0.239,1.46e-06,0.343,0.505,78.0
0.421,0.935,7,-2.601,1,0.438,0.00978,0,0.165,0.645,155.855
0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031
0.428,0.511,5,-6.988,0,0.153,0.56,0,0.22,0.33,143.684
0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094
0.637,0.963,9,-5.116,1,0.0882,0.000286,0.000889,0.0449,0.823,150.1
0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215
0.52,0.775,0,-5.803,1,0.0348,0.034,0,0.364,0.382,136.028
0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66
0.423,0.714,11,-8.295,1,0.045,0.00113,6.28e-06,0.0855,0.593,110.017
0.519,0.862,7,-2.609,1,0.0424,0.0156,2.37e-06,0.164,0.396,159.938
0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423
0.615,0.667,2,-7.801,1,0.0345,0.0175,0.0844,0.241,0.795,120.006
0.838,0.475,4,-5.505,0,0.036,0.000417,0.714,0.226,0.711,106.217
0.641,0.807,9,-6.73,1,0.239,0.0851,2.38e-05,0.64,0.712,158.071
0.705,0.751,7,-4.767,1,0.287,0.0598,2.51e-06,0.907,0.819,80.727
0.599,0.869,7,-4.874,1,0.0277,0.214,0.129,0.108,0.637,90.088
0.737,0.706,4,-6.965,0,0.029,0.283,0.0636,0.304,0.933,136.007
0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561
0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046
0.511,0.815,7,-3.14,1,0.144,0.0491,0,0.0826,0.586,154.514
0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081
0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152
0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033
0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015
0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974
0.536,0.923,2,-3.494,1,0.125,0.0122,0,0.142,0.77,160.03
0.582,0.829,2,-5.688,1,0.0465,0.000517,0,0.266,0.867,130.969
0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22
0.663,0.72,3,-5.497,1,0.0331,0.00212,0,0.358,0.608,135.342
0.568,0.844,9,-5.875,1,0.0505,0.000189,0,0.0607,0.766,116.046
0.402,0.914,9,-5.215,1,0.142,0.000579,0,0.065,0.626,196.505
